source_address,timestamp,x,y
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:42Z,398455.262721032,333040.221556731
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:43Z,398455.999963868,333038.65360316
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:44Z,398456.737206704,333037.085649589
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:45Z,398457.802370478,333035.22212895
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:46Z,398458.867534251,333033.358608311
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:47Z,398459.932698025,333031.495087672
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:48Z,398460.997861798,333029.631567033
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:49Z,398462.063025572,333027.768046394
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:50Z,398463.14716479,333026.42828643
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:51Z,398464.231304008,333025.088526467
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:52Z,398465.315443227,333023.748766503
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:53Z,398466.399582445,333022.40900654
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:54Z,398467.483721663,333021.069246576
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:55Z,398467.947981868,333021.366345504
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:56Z,398468.412242074,333021.663444431
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:57Z,398468.876502279,333021.960543359
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:58Z,398469.340762485,333022.257642286
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T18:55:59Z,398469.80502269,333022.554741214
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:17Z,398369.103612594,332977.2498478
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:18Z,398369.720649298,332976.871427491
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:19Z,398370.337686003,332976.493007181
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:20Z,398370.954722707,332976.114586872
b84170e4d8f3f45a54ebc86352d8c5a4,2019-10-23T22:24:21Z,398371.571759412,332975.736166562
